date,slot,home,away,prediction,actual_winner,correct,confidence,ml_home_prob,ml_away_prob,ml_intervened,pattern_reason,home_win_desc,away_win_desc,slot_fav_desc,bm_label,actual,home_score,away_score,winner
2026-04-14,3.0,KIA Tigers,Kiwoom Heroes,AWAY(Kiwoom Heroes),KIA Tigers,0.0,0.6,0.4,0.6,True,,,,,,,,,
2026-04-14,4.0,NC Dinos,KT Wiz Suwon,AWAY(KT Wiz Suwon),NC Dinos,0.0,0.815,0.5,0.5,False,,,,,,,,,
2026-04-14,5.0,LG Twins,Lotte Giants,HOME(LG Twins),LG Twins,1.0,0.67,0.67,0.33,True,,,,,,,,,
2026-04-15,1.0,SSG Landers,Doosan Bears,AWAY(Doosan Bears),SSG Landers,0.0,0.815,0.605,0.395,False,,,,,,,,,
2026-04-15,2.0,Hanwha Eagles,Samsung Lions,HOME(Hanwha Eagles),Samsung Lions,0.0,0.78,0.535,0.465,False,,,,,,,,,
2026-04-15,3.0,KIA Tigers,Kiwoom Heroes,HOME(KIA Tigers),KIA Tigers,1.0,0.8,0.68,0.32,False,,,,,,,,,
2026-04-15,4.0,NC Dinos,KT Wiz Suwon,HOME(NC Dinos),KT Wiz Suwon,0.0,0.85,0.605,0.395,False,,,,,,,,,
2026-04-15,5.0,LG Twins,Lotte Giants,HOME(LG Twins),Lotte Giants,0.0,0.86,0.86,0.14,True,,,,,,,,,
2026-04-16,1.0,SSG Landers,Doosan Bears,HOME(SSG Landers),SSG Landers,1.0,0.85,0.57,0.43,False,,,,,,,,,
2026-04-16,2.0,Hanwha Eagles,Samsung Lions,HOME(Hanwha Eagles),Samsung Lions,0.0,0.78,0.455,0.545,False,,,,,,,,,
2026-04-16,3.0,KIA Tigers,Kiwoom Heroes,PASS,KIA Tigers,,0.0,0.56,0.44,False,,,,,,,,,
2026-04-16,4.0,NC Dinos,KT Wiz Suwon,AWAY(KT Wiz Suwon),KT Wiz Suwon,1.0,0.85,0.465,0.535,False,,,,,,,,,
2026-04-16,5.0,LG Twins,Lotte Giants,AWAY(Lotte Giants),LG Twins,0.0,0.85,0.435,0.565,False,,,,,,,,,
2026-04-17,1.0,Doosan Bears,KIA Tigers,PASS,KIA Tigers,,0.0,0.485,0.515,False,,,,,,,,,
2026-04-17,3.0,KT Wiz Suwon,Kiwoom Heroes,AWAY(Kiwoom Heroes),KT Wiz Suwon,0.0,0.78,0.735,0.265,False,,,,,,,,,
2026-04-18,1.0,Samsung Lions,LG Twins,AWAY(LG Twins),Samsung Lions,0.0,0.815,0.38,0.62,False,,,,,,,,,
2026-04-18,2.0,Doosan Bears,KIA Tigers,PASS,Doosan Bears,,0.0,0.43,0.57,False,,,,,,,,,
2026-04-18,3.0,Lotte Giants,Hanwha Eagles,AWAY(Hanwha Eagles),Hanwha Eagles,1.0,0.815,0.46,0.54,False,,,,,,,,,
2026-04-18,4.0,KT Wiz Suwon,Kiwoom Heroes,AWAY(Kiwoom Heroes),KT Wiz Suwon,0.0,0.78,0.66,0.34,False,,,,,,,,,
2026-04-18,5.0,NC Dinos,SSG Landers,AWAY(SSG Landers),SSG Landers,1.0,0.605,0.395,0.605,True,,,,,,,,,
2026-04-19,1.0,Doosan Bears,KIA Tigers,HOME(Doosan Bears),Doosan Bears,1.0,0.85,0.6,0.4,False,,,,,,,,,
2026-04-19,2.0,Lotte Giants,Hanwha Eagles,PASS,Hanwha Eagles,,0.0,0.425,0.575,False,,,,,,,,,
2026-04-19,3.0,Samsung Lions,LG Twins,HOME(Samsung Lions),LG Twins,0.0,0.58,0.58,0.42,True,,,,,,,,,
2026-04-19,4.0,NC Dinos,SSG Landers,PASS,NC Dinos,,0.0,0.44,0.56,False,,,,,,,,,
2026-04-19,5.0,KT Wiz Suwon,Kiwoom Heroes,AWAY(Kiwoom Heroes),Kiwoom Heroes,1.0,0.78,0.74,0.26,False,,,,,,,,,
2026-04-21,1.0,Lotte Giants,Doosan Bears,PASS,Doosan Bears,,0.0,0.55,0.45,False,,,,,,,,,
2026-04-21,2.0,LG Twins,Hanwha Eagles,PASS,LG Twins,,0.0,0.555,0.445,False,,,,,,,,,
2026-04-21,3.0,KT Wiz Suwon,KIA Tigers,HOME(KT Wiz Suwon),KT Wiz Suwon,1.0,0.665,0.665,0.335,True,,,,,,,,,
2026-04-21,4.0,Kiwoom Heroes,NC Dinos,PASS,Kiwoom Heroes,,0.0,0.515,0.485,False,,,,,,,,,
2026-04-21,5.0,Samsung Lions,SSG Landers,PASS,SSG Landers,,0.0,0.505,0.495,False,,,,,,,,,
2026-04-22,1.0,Lotte Giants,Doosan Bears,PASS,Doosan Bears,,0.0,0.575,0.425,False,,,,,,,,,
2026-04-22,2.0,LG Twins,Hanwha Eagles,PASS,LG Twins,,0.0,0.49,0.51,False,,,,,,,,,
2026-04-22,3.0,KT Wiz Suwon,KIA Tigers,HOME(KT Wiz Suwon),KT Wiz Suwon,1.0,0.85,0.685,0.315,False,,,,,,,,,
2026-04-22,4.0,Kiwoom Heroes,NC Dinos,HOME(Kiwoom Heroes),Kiwoom Heroes,1.0,0.85,0.485,0.515,False,,,,,,,,,
2026-04-22,5.0,Samsung Lions,SSG Landers,AWAY(SSG Landers),SSG Landers,1.0,0.85,0.485,0.515,False,,,,,,,,,
2026-04-23,1.0,Lotte Giants,Doosan Bears,HOME(Lotte Giants),Lotte Giants,1.0,0.78,0.445,0.555,False,,,,,,,,,
2026-04-23,2.0,LG Twins,Hanwha Eagles,HOME(LG Twins),Hanwha Eagles,0.0,0.645,0.645,0.355,True,,,,,,,,,
2026-04-23,3.0,KT Wiz Suwon,KIA Tigers,HOME(KT Wiz Suwon),KT Wiz Suwon,1.0,0.625,0.625,0.375,True,,,,,,,,,
2026-04-23,4.0,Kiwoom Heroes,NC Dinos,HOME(Kiwoom Heroes),NC Dinos,0.0,0.815,0.67,0.33,False,,,,,,,,,
2026-04-23,5.0,Samsung Lions,SSG Landers,PASS,SSG Landers,,0.0,0.56,0.44,False,,,,,,,,,
2026-04-24,1.0,Doosan Bears,LG Twins,PASS,LG Twins,,0.0,0.56,0.44,False,,,,,,,,,
2026-04-24,2.0,Hanwha Eagles,NC Dinos,PASS,NC Dinos,,0.0,0.505,0.495,False,,,,,,,,,
2026-04-24,3.0,KIA Tigers,Lotte Giants,AWAY(Lotte Giants),KIA Tigers,0.0,0.85,0.535,0.465,False,,,,,,,,,
2026-04-24,4.0,Kiwoom Heroes,Samsung Lions,PASS,Kiwoom Heroes,,0.0,0.495,0.505,False,,,,,,,,,
2026-04-24,5.0,SSG Landers,KT Wiz Suwon,HOME(SSG Landers),SSG Landers,1.0,0.61,0.61,0.39,True,,,,,,,,,
2026-04-25,1.0,Doosan Bears,LG Twins,AWAY(LG Twins),LG Twins,1.0,0.85,0.43,0.57,False,,,,,,,,,
2026-04-25,2.0,Hanwha Eagles,NC Dinos,AWAY(NC Dinos),Hanwha Eagles,0.0,0.85,0.43,0.57,False,,,,,,,,,
2026-04-25,3.0,KIA Tigers,Lotte Giants,HOME(KIA Tigers),KIA Tigers,1.0,0.85,0.6,0.4,False,,,,,,,,,
2026-04-25,4.0,Kiwoom Heroes,Samsung Lions,HOME(Kiwoom Heroes),Kiwoom Heroes,1.0,0.85,0.525,0.475,False,,,,,,,,,
2026-04-25,5.0,SSG Landers,KT Wiz Suwon,HOME(SSG Landers),SSG Landers,1.0,0.67,0.67,0.33,True,,,,,,,,,
2026-04-26,1.0,Doosan Bears,LG Twins,PASS,Doosan Bears,,0.0,0.45,0.55,False,,,,,,,,,
2026-04-26,2.0,Hanwha Eagles,NC Dinos,HOME(Hanwha Eagles),NC Dinos,0.0,0.85,0.64,0.36,False,,,,,,,,,
2026-04-26,4.0,Kiwoom Heroes,Samsung Lions,HOME(Kiwoom Heroes),Kiwoom Heroes,1.0,0.65,0.65,0.35,True,,,,,,,,,
2026-04-26,5.0,SSG Landers,KT Wiz Suwon,HOME(SSG Landers),KT Wiz Suwon,0.0,0.705,0.705,0.295,True,,,,,,,,,
2026-04-28,1.0,Doosan Bears,Samsung Lions,HOME(Doosan Bears),Samsung Lions,0.0,0.85,0.55,0.45,False,,,,,,,,,
2026-04-28,2.0,Hanwha Eagles,SSG Landers,HOME(Hanwha Eagles),Hanwha Eagles,1.0,0.705,0.705,0.295,True,,,,,,,,,
